filename,Project name,Value,Exact Excerpt,Explanation
P10813_License_19920925.pdf,Summersville Hydroelectric Project,No separate minimum flow required (must follow all USACE minimums and whitewater release schedules),"�Article 402 requires Summersville to operate the project as directed by the Corps, using flows provided by the Corps and maintaining the current minimum flow regime.� �The Corps is required to provide 20 days of whitewater boating releases (2,500 cfs minimum) starting the first weekend after Labor Day every year. � Summersville must generate power only from the flows that are provided by the Corps.�",The license does not establish any additional project-specific minimum flow. All downstream releases and minimum flows are determined and controlled by the U.S. Army Corps of Engineers for flood control and recreation (including mandated whitewater releases); the hydropower project must simply use whatever flow is released by the Corps.
P2743_License_19811005.pdf,Terror Lake Project,"100 cfs (Jan�Apr), 65 cfs (May�Oct), 62 cfs (Nov 16�30), 62 cfs (Dec 1�31) required","�Article 43. Licensee shall discharge from the Terror Lake Reservoir flows sufficient to ensure that the minimum stream flows near the mouth of the Terror River, as measured at the Terror River U. S. Geological Survey Gage no. 15295, are not less than the following schedule of flows during reservoir filling, and thereafter during project operation: January�April: 100 cfs; May�October: 65 cfs; Nov 1�15: 100 cfs; Nov 16�30: 62 cfs; Dec: 62 cfs.�","The license mandates a detailed, seasonally varying schedule of minimum flows to the Terror River to protect downstream fish habitat. These values are specified in Article 43 of the FERC license."
P3015_License_19810805.pdf,Tyee Lake Project,Not mentioned,"No specific mandated minimum flow, instream flow, or required release to the creek or downstream river is mentioned anywhere in the license.","The license does not contain any article or section specifying a required minimum flow release for ecological or other uses. The project is operated to maximize hydropower generation and storage, with no environmental or other mandated releases."
P308_License_20170105.pdf,Wallowa Falls Hydroelectric Project,"4 cfs (Nov�Apr); 5 cfs (May�Oct), measured at BPL gage or inflow (whichever is less)","""PacifiCorp proposes to... increase minimum flows from the current 0.5 cfs year-round to 4 cfs from November through April, and 5 cfs from May through October as measured at the bypassed reach lower gage (BPL gage) site or inflow, whichever is less."" �Condition 1(a) requires PacifiCorp to operate the project in a run-of-river mode as proposed.� �Condition 1(b) requires PacifiCorp to... monitor minimum flows at the BPL gage site as proposed��","No routine zero-flow periods allowed. Temporary, agency-approved modifications to minimum flow may be permitted under emergencies: �Condition 1(d) requires PacifiCorp to include procedures for obtaining agency approval of temporary modifications to the minimum flow and run-of-river operation requirements��During operational outages, flow to the tailrace may cease entirely (��flow to the tailrace channel ceases and it is dewatered�), but these are not exceptions to the instream minimum flow in the bypassed reach.Previous license required 0.5 cfs year-round; this is now superseded.Maximum diversion for generation is 16 cfs (not a minimum). All compliance monitored and reported. Original units: cfs. If inflow is less than the required minimum, inflow becomes the minimum release."
P2566_License_20010620.pdf,Webber Hydroelectric Project,Run-of-river operation: Outflow must approximate inflow at all times; impoundment elevation maintained at 684.15 ft � 0.25 ft NGVD.Fishway flow: 30 cfs to fish ladder March 1�June 30 and Sept 1�Nov 30 each year.,"�The licensee shall operate the project in a run-of-river (R-O-R) mode for the protection of water quality, aquatic and recreational resources� and shall maintain the impoundment elevation at 684.15 feet +/- 0.25 feet National Geodetic Vertical Datum (NGVD)� by maintaining a discharge from the project so that� flows downstream of the project tailrace approximate the sum of the inflows to the project impoundment.��The licensee shall provide 30 cubic feet per second of water to operate the Webber fishway� from March 1 through June 30, and from September 1 through November 30, annually.�","Legally mandated run-of-river operation: Outflow must continuously match inflow, with only minor impoundment elevation fluctuation (�0.25 ft), except for emergencies, maintenance, or by mutual agency agreement (with notification).Fishway flow: 30 cfs must be provided to the fish ladder during specified dates for fish passage; may be temporarily reduced for emergencies or maintenance, if agreed by agencies (with reporting).During shutdowns, immediate downstream flow must be provided (Article 410).There is no specified numeric minimum flow for the main river, but flow cannot be reduced below inflow except as above. No routine zero-flow periods are allowed. All requirements are monitored and reported."
P11841_License_20090317.pdf,Whitman Lake Project,"6�11 cfs required (or natural inflow, if less, to lower Whitman Creek)","�To protect aquatic resources and fish populations in Whitman Creek, Ketchikan proposes and this license requires a year-round minimum instream flow release of between 6 and 11 cfs downstream of Whitman dam (Article 403).�","The license mandates a minimum flow release to lower Whitman Creek from Whitman dam, with required flows between 6 and 11 cfs depending on operational conditions, and the ability to reduce to as low as 0.77 cfs under the Dry Conditions/Low Reservoir Protocol."
P2972_License_19801106.pdf,Woonsocket Falls Project,Not mentioned,No specific minimum flow requirement or mandated release is mentioned anywhere in the license document.,"The license describes project facilities, safety, and consultation requirements, but does not specify any minimum instream or operational flow. The project operates to supply municipal power with no mandated release specified."
P1773_License_19921015.pdf,Yellowstone Project,"35 cfs (April 1�Sept 30), 20 cfs (Oct 1�Mar 31) required (or natural flow, if less)","�The licensee shall maintain the following instantaneous minimum flows or the natural flow, whichever is less, immediately below the diversion in the Yellowstone River. April 1�September 30: 35 cfs. October 1�March 31: 20 cfs.� (Article 105, license order; confirmed in Forest Service conditions and EA)","The license requires Moon Lake Electric Association to maintain seasonal minimum flows in the bypass reach: 35 cfs (April 1�Sept 30), 20 cfs (Oct 1�Mar 31), or natural inflow if less. This is to protect aquatic habitat, as detailed in Article 105."
BigBend_WCM_2018.pdf,Big Bend Dam,No explicit min flow,Not mentioned in water control plan or regulation,"Operated as part of Missouri River system, with no section/article requiring a specific, constant minimum flow below the dam."
DaleHollow_WCM_2021.pdf,Dale Hollow Dam,"1 hour generation daily, June 1�Nov 15 (no cfs stated)",�Minimum flows are now the discharge equivalent to one hour of generation during every calendar day from 1 June through 15 November...�,"The only minimum flow is to release the equivalent of one hour of generation each day in summer/fall; no fixed, year-round cfs minimum flow is required."
LaurelRiver_WCM_2017.pdf,Laurel River Dam,0.5 hr generation every other day (no cfs stated),"�...the minimum release criteria stipulates that the hydropower unit will be run at least one half hour every other day, year-round.�","No specific cfs minimum flow. Minimum release is operationally defined by required generation duration, not by cfs."
Grand Coulee WCM,Grand Coulee Dam,"Effectively 36,000 cfs (to meet Priest Rapids min)","""...outflow...will be reduced to an average daily flow sufficient to maintain the 36,000 cfs minimum discharge below Priest Rapids Dam...""","Not a direct min flow at Grand Coulee, but outflows are regulated to meet this downstream target."
FortPeck_WCM_2018.pdf,Fort Peck Dam,3,000 cfs (year-round instantaneous minimum),"Per Section 7-10.2.1 of the Master Manual, a year-round instantaneous minimum release of 3,000 cfs was established at Fort Peck in 1992 for the trout fishery located in the Dredge Cuts immediately below Fort Peck Dam. Due to changing power load during the day, releases may fluctuate between 3,000 cfs, the minimum water supply release, and approaching 16,000 cfs, the maximum powerplant release.","Mandated year-round instantaneous minimum of 3,000 cfs established in 1992 for trout fishery protection in Dredge Cuts below dam. Additional operational targets exist for irrigation (6,000-8,000 cfs at Culbertson gage during irrigation season), but the hard minimum release requirement at Fort Peck Dam itself is 3,000 cfs."
Bonneville Dam Reservoir Regulation Manual_OCT2014_Redacted.pdf,Bonneville Dam,"70,000�100,000 cfs (typical) 58,000 cfs (exceptional)","�Minimum flows have been established...minimum instantaneous flows range from 70,000 to 80,000 cfs...minimum daily flows...100,000 cfs...to meet the tailwater elevation operating goal for chum spawning, under certain conditions, flow releases may be reduced to as low as 58,000 cfs.�","Typical minimum flow for navigation is 70,000�100,000 cfs; 58,000 cfs is allowed for chum spawning during special periods."
